index,parallax,parallax_error,phot_g_mean_mag
408989,5.688337372535532,0.063500606,16.594248
409439,5.9469070520180605,0.1423508,17.832386
409967,5.868313875936777,0.20994706,18.375872
411468,5.576964780289557,0.0758094,16.854176
415908,5.697889673793947,0.038843066,6.83164
416503,5.669896921049836,0.014497088,12.562114
417303,5.82591194651143,0.024340004,8.482347
418112,5.47468746339603,0.17891352,18.170195
418694,5.741344450479295,0.080241114,16.614834
419416,5.773258176961702,0.03108328,7.9442835
421075,5.848947835659114,0.047400247,15.820458
424482,5.695515562914346,0.026189687,14.527084
426552,5.956101938149261,0.07300948,16.791933
427535,5.773459145215881,0.033328135,7.363313
430751,5.763387376057732,0.044060368,15.643738
432150,5.977293747610163,0.15768117,18.21288
433909,5.876699786284189,0.08394904,17.096754
439274,5.777220450378418,0.012571655,12.713085
443431,5.194657495623984,0.2806749,19.099886
447460,5.763667152251959,0.012068468,12.539467
449973,5.884892228198075,0.054358095,15.931371
451715,5.519760534913198,0.18348852,18.22975
456880,5.881436733035718,0.07270771,16.753916
472426,5.651139547532477,0.09148787,16.320726
474016,5.740439527608897,0.08259911,16.95601
474778,5.898681712312,0.020972501,10.325243
477997,5.99437260943465,0.053636115,16.226612
480760,5.533913439453443,0.15798165,17.912987
485799,5.787814043298494,0.031139357,15.342009
515167,5.8037338538652135,0.21913858,18.477255
515305,5.834002746829112,0.14770594,17.851067
515521,5.526607287434104,0.30804768,19.150248
519255,5.569086670347159,0.024723224,13.473418
520667,5.695632096766509,0.012408663,12.095674
531199,5.671331008709688,0.16414875,18.284613
533893,5.704835050055715,0.022668155,14.39983
534667,5.35192459127515,0.09190929,16.887377
539474,5.952961381807206,0.07210756,16.69721
539675,5.312875351620212,0.016862802,11.702143
540646,5.661230033300725,0.1310731,17.570538
540968,6.076781266680596,0.35191557,19.566536
542924,5.876286879182612,0.7383703,20.147188
543662,5.861986021831812,0.03073891,8.193308
543963,5.809403259770824,0.013423761,12.543678
544828,5.328695327401404,0.22055452,18.587683
545488,6.036141034451739,0.023782475,14.545278
545581,6.0622307861732745,0.17135145,18.199091
546650,5.75980965995753,0.05703238,16.328886
551604,6.088412787921712,0.013331228,12.280413
555178,5.715248133825212,0.106726855,17.360159
555261,5.3999546505513445,0.43023577,19.722206
557584,5.624135516561417,0.0928958,17.049835
558864,5.532687281375312,0.02088708,8.741654
560090,6.55786194903677,0.44304618,19.461393
561913,5.73180243246632,0.016732918,11.736816
562231,5.786479613608114,0.03967918,15.4838705
562702,5.864598105135713,0.097930394,17.427322
563362,5.869496281268429,0.043616973,15.845171
563506,5.69548134376751,0.07925639,17.043446
563566,5.491702680391644,0.18250594,18.208792
566071,5.3740449887288655,0.18115178,18.03798
568499,5.894050629462925,0.08633951,15.665785
570036,5.922871396036891,0.043779857,15.421505
570921,5.964606138942872,0.090557344,17.233856
573901,5.622527865036892,0.02941112,11.181266
575336,5.86933927943416,0.022972304,11.743104
575710,5.672712120432361,0.068442665,16.33631
575779,5.683237137043256,0.0634458,16.559519
579127,5.743320887432667,0.027969152,8.980829
580186,5.416425966124626,0.18746509,13.876534
580204,5.89667365045708,0.058777224,16.739359
580989,5.819586982476522,0.04187733,15.850898
581069,5.532595316382714,0.080933616,5.124061
582401,5.436736133042231,0.060566466,12.330759
583920,5.738669953164715,0.047027893,15.898319
584749,5.8122593577686965,0.017934196,10.158615
586177,6.003858700342678,0.07631096,17.012423
586346,5.590198545839188,0.073300384,16.781584
586385,6.187222023596298,0.27523598,18.998047
592728,5.657218193858999,0.06744411,16.779808
593801,5.5012744636794535,0.0324564,15.344355
594055,5.890459204940986,0.07015735,16.846365
594403,5.789485792727253,0.06170605,16.486244
594419,5.900262407034329,0.012496206,12.632132
594474,6.58329913987156,0.43536845,19.579958
598268,5.481624762190363,0.21383744,18.519087
599780,5.572419903231106,0.08939633,16.99717
601229,5.361786184822672,0.11027797,15.366528
601867,5.6380036867618255,0.07393009,16.934515
603192,5.457485083267937,0.044777304,15.609639
604812,5.876893173490036,0.05773917,15.769719
605681,5.477998166309745,0.051764973,16.268003
608453,5.647921031760178,0.015001347,13.409896
613001,5.639634006551511,0.020673284,13.566211
613049,5.79084867008716,0.04272763,16.156448
